date,pathogen,group,amount
2022-10-02,Parechovirus,Parechovirus,0
2022-10-09,Parechovirus,Parechovirus,1
2022-10-16,Parechovirus,Parechovirus,1
2022-10-23,Parechovirus,Parechovirus,0
2022-10-30,Parechovirus,Parechovirus,0
2022-11-06,Parechovirus,Parechovirus,0
2022-11-13,Parechovirus,Parechovirus,3
2022-11-20,Parechovirus,Parechovirus,1
2022-11-27,Parechovirus,Parechovirus,0
2022-12-04,Parechovirus,Parechovirus,1
2022-12-11,Parechovirus,Parechovirus,0
2022-12-18,Parechovirus,Parechovirus,0
2022-12-25,Parechovirus,Parechovirus,0
2023-01-01,Parechovirus,Parechovirus,0
2023-01-08,Parechovirus,Parechovirus,0
2023-01-15,Parechovirus,Parechovirus,0
2023-01-22,Parechovirus,Parechovirus,0
2023-01-29,Parechovirus,Parechovirus,0
2023-02-05,Parechovirus,Parechovirus,1
2023-02-12,Parechovirus,Parechovirus,0
2023-02-19,Parechovirus,Parechovirus,0
2023-02-26,Parechovirus,Parechovirus,0
2023-03-05,Parechovirus,Parechovirus,1
2023-03-12,Parechovirus,Parechovirus,1
2023-03-19,Parechovirus,Parechovirus,1
2023-03-26,Parechovirus,Parechovirus,0
2023-04-02,Parechovirus,Parechovirus,0
2023-04-09,Parechovirus,Parechovirus,0
2023-04-16,Parechovirus,Parechovirus,0
2023-04-23,Parechovirus,Parechovirus,0
2023-04-30,Parechovirus,Parechovirus,0
2023-05-07,Parechovirus,Parechovirus,0
2023-05-14,Parechovirus,Parechovirus,0
2023-05-21,Parechovirus,Parechovirus,0
2023-05-28,Parechovirus,Parechovirus,1
2023-06-04,Parechovirus,Parechovirus,0
2023-06-11,Parechovirus,Parechovirus,1
2023-06-18,Parechovirus,Parechovirus,0
2023-06-25,Parechovirus,Parechovirus,0
2023-07-02,Parechovirus,Parechovirus,0
2023-07-09,Parechovirus,Parechovirus,0
2023-07-16,Parechovirus,Parechovirus,0
2023-07-23,Parechovirus,Parechovirus,1
2023-07-30,Parechovirus,Parechovirus,0
2023-08-06,Parechovirus,Parechovirus,0
2023-08-13,Parechovirus,Parechovirus,0
2023-08-20,Parechovirus,Parechovirus,0
2023-08-27,Parechovirus,Parechovirus,0
2023-09-03,Parechovirus,Parechovirus,0
2023-09-10,Parechovirus,Parechovirus,0
2023-09-17,Parechovirus,Parechovirus,1
2023-09-24,Parechovirus,Parechovirus,0
2023-10-01,Parechovirus,Parechovirus,0
2023-10-08,Parechovirus,Parechovirus,1
2023-10-15,Parechovirus,Parechovirus,0
2023-10-22,Parechovirus,Parechovirus,1
2023-10-29,Parechovirus,Parechovirus,1
2023-11-05,Parechovirus,Parechovirus,1
2023-11-12,Parechovirus,Parechovirus,2
2023-11-19,Parechovirus,Parechovirus,2
2023-11-26,Parechovirus,Parechovirus,0
2023-12-03,Parechovirus,Parechovirus,1
2023-12-10,Parechovirus,Parechovirus,1
2023-12-17,Parechovirus,Parechovirus,0
2023-12-24,Parechovirus,Parechovirus,0
2023-12-31,Parechovirus,Parechovirus,0
2024-01-07,Parechovirus,Parechovirus,1
2024-01-14,Parechovirus,Parechovirus,0
2024-01-21,Parechovirus,Parechovirus,0
2024-01-28,Parechovirus,Parechovirus,0
2024-02-04,Parechovirus,Parechovirus,0
2024-02-11,Parechovirus,Parechovirus,0
2024-02-18,Parechovirus,Parechovirus,1
2024-02-25,Parechovirus,Parechovirus,2
2024-03-03,Parechovirus,Parechovirus,2
2024-03-10,Parechovirus,Parechovirus,0
2024-03-17,Parechovirus,Parechovirus,0
