accession	serotype	segment	Organism_Name	Host	Collection_Date
Z768CJQ4YX7.1	T1	NSP3	"Z768CJQ4YX7.1 |T1-RVA/Human-tc/USA/Wa/1974/G1P8 segment NSP3, complete sequence"		
HB9ES21JCLW.1	T1	NSP3	"HB9ES21JCLW.1 |T1-RVA/Human-tc/JPN/KU/1974/G1P8 segment NSP3, complete sequence"		
TJRM3HH9P0W.1	T1	NSP3	"TJRM3HH9P0W.1 |T1-RVA/Human-wt/BGD/Dhaka16/2003/G1P8 segment NSP3, complete sequence"		
BQPDY2PVZHU.1	T1	NSP3	"BQPDY2PVZHU.1 |T1-RVA/Human-tc/USA/D/1974/G1P8 segment NSP3, complete sequence"		
G7PSKR7FG5S.1	T1	NSP3	"G7PSKR7FG5S.1 |T1-RVA/Human-tc/USA/P/1974/G3P8 segment NSP3, complete sequence"		
CRRSKPFS7DS.1	T1	NSP3	"CRRSKPFS7DS.1 |T1-RVA/Human-tc/GBR/ST3/1975/G4P6 segment NSP3, complete sequence"		
Q9400GWH49H.1	T1	NSP3	"Q9400GWH49H.1 |T1-RVA/Human-tc/BRA/IAL28/1992/G5P8 segment NSP3, complete sequence"		
M9GGWPUS8IL.1	T1	NSP3	"M9GGWPUS8IL.1 |T1-RVA/Human-tc/USA/Se584/1998/G6P9 segment NSP3, complete sequence"		
LWY2KSLDLW3.1	T1	NSP3	"LWY2KSLDLW3.1 |T1-RVA/Human-tc/USA/WI61/1983/G9P8 segment NSP3, complete sequence"		
7PCGNJN6KNG.1	T1	NSP3	"7PCGNJN6KNG.1 |T1-RVA/Human-wt/BEL/B3458/2003/G9P8 segment NSP3, complete sequence"		
I51NCUQGGD9.1	T1	NSP3	"I51NCUQGGD9.1 |T1-RVA/Human-wt/BGD/Dhaka6/2001/G11P25 segment NSP3, complete sequence"		
LVRSXO88O3F.1	T1	NSP3	"LVRSXO88O3F.1 |T1-RVA/Human-wt/NPL/KTM368/2004/G11P25 segment NSP3, complete sequence"		
Z5WSMAHZ1R9.1	T1	NSP3	"Z5WSMAHZ1R9.1 |T1-RVA/Human-wt/BGD/Dhaka12/2003/G12P6 segment NSP3, complete sequence"		
G4RXOM0Z71P.1	T1	NSP3	"G4RXOM0Z71P.1 |T1-RVA/Pig-tc/VEN/A131/1988/G3P7 segment NSP3, complete sequence"		
54ZEA5G0L1H.1	T1	NSP3	"54ZEA5G0L1H.1 |T1-RVA/Pig-tc/USA/Gottfried/1983/G4P6 segment NSP3, complete sequence"		
OW9TFB13AWD.1	T1	NSP3	"OW9TFB13AWD.1 |T1-RVA/Pig-tc/USA/OSU/1977/G5P7 segment NSP3, complete sequence"		
8YEM3HL83UC.1	T1	NSP3	"8YEM3HL83UC.1 |T1-RVA/Pig-tc/VEN/A253/1988/G11P97 segment NSP3, complete sequence"		
O8G0TVMGGUW.1	T1	NSP3	"O8G0TVMGGUW.1 |T1-RVA/Pig-tc/MEX/YM/1983/G11P7 segment NSP3, complete sequence"		
9G1TKLS5AZA.1	T1	NSP3	"9G1TKLS5AZA.1 |T1-RVA/Human-wt/BEL/B4633/2003/G12P8 segment NSP3, complete sequence"		
XRYYT1RFL38.1	T1	NSP3	"XRYYT1RFL38.1 |T1-RVA/Human-wt/BGD/Dhaka25/2002/G12P8 segment NSP3, complete sequence"		
9ONMBBBXE0D.1	T2	NSP3	"9ONMBBBXE0D.1 |T2-RVA/Human-wt/COD/DRC86/2003/G8P6 segment NSP3, complete sequence"		
