accession	serotype	segment	Organism_Name	Host	Collection_Date
ON988154.1	C24	VP2	"ON988154.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS11-0893/2010/G42P[58] segment VP2, complete sequence"	Sorex araneus	2010
MZ054765.1	C22	VP2	"MZ054765.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS14-269/2014/G39P[55] segment 2 segment VP2, complete sequence"	Sorex araneus	2014
LC638699.2	C23	VP2	"LC638699.2 |Rotavirus A RVA/MultimammateMouse-wt/ZMB/MpR12/2012/G41P[57] VP2 gene for inner capsid protein VP2, complete cds"	Mastomys natalensis	2012
MH285838.1	C20	VP2	"MH285838.1 |Bat rotavirus isolate BatRVA/KEN/BATp39/Rousettus aegyptiacus/2015 VP2 protein (VP2) gene, complete cds"	Rousettus aegyptiacus	2015-03
LC208546.1	C19	VP2	"LC208546.1 |Rotavirus A RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17] VP2 gene for structural protein VP2, complete cds, strain: RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17]"	Procyon lotor	2011-08
KX257409.1	C13	VP2	"KX257409.1 |Rotavirus A strain RVA/Human-wt/SUR/2014735512/2013/G20P[28] segment 2 segment VP2, complete sequence"	Homo sapiens	2013-02-15
KX814936.1	C18	VP2	"KX814936.1 |Rotavirus A isolate RVA/Bat-wt/CHN/GLRL1/2005/G33P[48] segment VP2, complete sequence"	Rousettus leschenaultii	2005
KX268755.1	C15	VP2	"KX268755.1 |Rotavirus A isolate Bat-wt/CMR/BatLi09/2014/G30P42_C15 segment VP2, complete sequence"	Eidolon helvum	2014-04
KU243571.1	C17	VP2	"KU243571.1 |Rotavirus G28 strain RVA/Shrew/CHN/LW9/2013 VP2 gene, partial cds"	Homo sapiens	2013
LC088219.1	C14	VP2	"LC088219.1 |Rotavirus A VP2 gene for VP2 protein, complete cds, strain: RVA/CommonGull-wt/JPN/Ho374/2013/G28P[39]"	Larus canus	2013
KR632624.1	C12	VP2	"KR632624.1 |Rotavirus A strain human-wt/ITA/ME848/12/2012/G12P9 VP2 gene, partial cds"	Homo sapiens	2012-08
AB971761.1	C10	VP2	"AB971761.1 |Rotavirus A VP2 gene for core protein VP2, complete cds, strain: RVA/SugarGlider-tc/JPN/SG385/2012/G27P[36]"	Petaurus breviceps	2012-02-15
KJ879449.1	C11	VP2	"KJ879449.1 |Rotavirus A/Rat-wt/GER/KS-11-573/2011/G3P[3] segment VP2, complete sequence"	Rattus norvegicus	2010
JF712556.1	C9	VP2	"JF712556.1 |Rotavirus A strain RVA/Horse-tc/GBR/L338/1991/G13P[18] segment VP2, complete sequence"	Equus caballus	1991
GU983673.1	C8	VP2	"GU983673.1 |Rotavirus A bat/4852/Kenya/2007 segment VP2, complete sequence"	Eidolon helvum	2007
GQ479948.1	C7	VP2	"GQ479948.1 |Murine rotavirus strain ETD_822 segment VP2, complete sequence"	NA	2007-01
FJ169854.1	C6	VP2	"FJ169854.1 |Rotavirus A strain 02V0002G3 segment 2, complete sequence"	Gallus gallus	2002
SL3D2DMC8AR.1	C1	VP2	"SL3D2DMC8AR.1 |C1-RVA/Pig-tc/USA/Gottfried/1983/G4P6 segment VP2, complete sequence"		
3H77Y15F3DF.1	C1	VP2	"3H77Y15F3DF.1 |C1-RVA/Pig-tc/USA/OSU/1977/G5P7 segment VP2, complete sequence"		
Q67OVTVXTY8.1	C1	VP2	"Q67OVTVXTY8.1 |C1-RVA/Human-wt/BEL/B4633/2003/G12P8 segment VP2, complete sequence"		
VY4419H6059.1	C1	VP2	"VY4419H6059.1 |C1-RVA/Human-wt/BGD/Dhaka25/2002/G12P8 segment VP2, complete sequence"		
5BE2TAXH0XF.1	C1	VP2	"5BE2TAXH0XF.1 |C1-RVA/Human-wt/BGD/Dhaka12/2003/G12P6 segment VP2, complete sequence"		
3BIJFW3O9KJ.1	C1	VP2	"3BIJFW3O9KJ.1 |C1-RVA/Human-wt/BGD/Matlab13/2003/G12P6 segment VP2, complete sequence"		
LG54HI75C55.1	C1	VP2	"LG54HI75C55.1 |C1-RVA/Human-wt/BGD/Dhaka6/2001/G11P25 segment VP2, complete sequence"		
CX735RFMW3L.1	C1	VP2	"CX735RFMW3L.1 |C1-RVA/Human-wt/NPL/KTM368/2004/G11P25 segment VP2, complete sequence"		
TAV2DMZ49JY.1	C1	VP2	"TAV2DMZ49JY.1 |C1-RVA/Human-tc/USA/Wa/1974/G1P8 segment VP2, complete sequence"		
IM0L32RGZVT.1	C1	VP2	"IM0L32RGZVT.1 |C1-RVA/Human-tc/JPN/KU/1974/G1P8 segment VP2, complete sequence"		
9C5OA8CK5WU.1	C1	VP2	"9C5OA8CK5WU.1 |C1-RVA/Human-wt/BGD/Dhaka16/2003/G1P8 segment VP2, complete sequence"		
6V22M4733CU.1	C1	VP2	"6V22M4733CU.1 |C1-RVA/Human-tc/USA/WI61/1983/G9P8 segment VP2, complete sequence"		
7EQ04VLO2YF.1	C1	VP2	"7EQ04VLO2YF.1 |C1-RVA/Pig-tc/MEX/YM/1983/G11P7 segment VP2, complete sequence"		
DMWV5D01GAA.1	C1	VP2	"DMWV5D01GAA.1 |C1-RVA/Human-wt/BEL/B3458/2003/G9P8 segment VP2, complete sequence"		
OYM15G3CIFB.1	C1	VP2	"OYM15G3CIFB.1 |C1-RVA/Human-tc/USA/D/1974/G1P8 segment VP2, complete sequence"		
FWHQBEGSCGH.1	C1	VP2	"FWHQBEGSCGH.1 |C1-RVA/Human-tc/USA/P/1974/G3P8 segment VP2, complete sequence"		
HQJ6LHIP4QL.1	C1	VP2	"HQJ6LHIP4QL.1 |C1-RVA/Human-tc/GBR/ST3/1975/G4P6 segment VP2, complete sequence"		
OWD7HMWC699.1	C1	VP2	"OWD7HMWC699.1 |RVA/Human-tc/BRA/IAL28/1992/G5P8 segment VP2, complete sequence"		
LR59KFFNNA6.1	C2	VP2	"LR59KFFNNA6.1 |C2-RVA/Human-wt/BEL/B4106/2000/G3P14 segment VP2, complete sequence"		
RTAYHRKFXT3.1	C2	VP2	"RTAYHRKFXT3.1 |C2-RVA/Human-wt/BEL/B1711/2002/G6P6 segment VP2, complete sequence"		
OJ96EV4GEZZ.1	C2	VP2	"OJ96EV4GEZZ.1 |C2-RVA/Human-tc/USA/Se584/1998/G6P9 segment VP2, complete sequence"		
7XTIM20S4R1.1	C2	VP2	"7XTIM20S4R1.1 |C2-RVA/Human-wt/HUN/Hun5/1997/G6P14 segment VP2, complete sequence"		
SZN0TN2HOC3.1	C2	VP2	"SZN0TN2HOC3.1 |C2-RVA/Sheep-tc/ESP/OVR762/2002/G8P14 segment VP2, complete sequence"		
41KMAIQGB30.1	C2	VP2	"41KMAIQGB30.1 |C2-RVA/Rabbit-tc/ITA/30-96/1996/G3P14 segment VP2, complete sequence"		
2Z1W1XALBI6.1	C2	VP2	"2Z1W1XALBI6.1 |C2-RVA/Human-tc/AUS/MG6/1993/G6P14 segment VP2, complete sequence"		
GKFEHLRPAVH.1	C2	VP2	"GKFEHLRPAVH.1 |C2-RVA/Human-tc/USA/DS-1/1976/G2P4 segment VP2, complete sequence"		
784AA1BVER1.1	C2	VP2	"784AA1BVER1.1 |C2-RVA/Human-wt/CHN/TB-Chen/1996/G2P4 segment VP2, complete sequence"		
IIJGRIVI465.1	C2	VP2	"IIJGRIVI465.1 |C2-RVA/Human-tc/ITA/PA169/1988/G6P14 segment VP2, complete sequence"		
